service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20N-H50N000S-83-S,1,1,1,1,1,0,0,20201026,20201030
20N-H50N000S-83-SV,0,0,0,0,1,0,0,20201026,20201030
20N-H54N000S-80-S,1,1,1,1,1,0,0,20201026,20201218
20N-H55N000S-02-S,1,1,1,1,1,0,0,20201026,20201218
20N-H55N000S-02-SV,0,0,0,0,1,0,0,20201026,20201218
20N-H56N000S-80-S,1,1,1,1,1,0,0,20201026,20201218
20N-H56N000S-80-SV,0,0,0,0,1,0,0,20201026,20201218
20N-H57N000S-95-S,1,1,1,1,1,0,0,20201026,20201218
20N-H58N000S-82-S,1,1,1,1,1,0,0,20201026,20201218
20N-H59N000S-03-S,1,1,1,1,1,0,0,20201026,20201028
20N-H60N000S-01-S,1,1,1,1,1,0,0,20201026,20201030
20N-H62N000S-00-S,1,1,1,1,1,0,0,20201026,20201218
20N-GLOBAUX-10-S,1,1,1,1,1,0,0,20201026,20201106
20N-H59N000S-01-S,1,1,1,1,1,0,0,20201029,20201218
20N-H59N000S-01-SV,0,0,0,0,1,0,0,20201029,20201218
20N-H50N000A-00-A,0,0,0,0,0,1,0,20201031,20201031
20N-H54N000A-01-A,0,0,0,0,0,1,0,20201031,20201219
20N-H55N000A-01-A,0,0,0,0,0,1,0,20201031,20201219
20N-H56N000A-00-A,0,0,0,0,0,1,0,20201031,20201219
20N-H57N000A-02-A,0,0,0,0,0,1,0,20201031,20201219
20N-H58N000A-01-A,0,0,0,0,0,1,0,20201031,20201219
20N-H59N000A-00-A,0,0,0,0,0,1,0,20201031,20201219
20N-H60N000A-00-A,0,0,0,0,0,1,0,20201031,20201219
20N-H62N000A-01-A,0,0,0,0,0,1,0,20201031,20201219
20N-GLOBAUX-10-A,0,0,0,0,0,1,0,20201031,20201219
20N-H50N000I-00-I,0,0,0,0,0,0,1,20201101,20201101
20N-H54N000I-01-I,0,0,0,0,0,0,1,20201101,20201220
20N-H55N000I-01-I,0,0,0,0,0,0,1,20201101,20201220
20N-H56N000I-00-I,0,0,0,0,0,0,1,20201101,20201220
20N-H57N000I-02-I,0,0,0,0,0,0,1,20201101,20201220
20N-H58N000I-13-I,0,0,0,0,0,0,1,20201101,20201220
20N-H59N000I-00-I,0,0,0,0,0,0,1,20201101,20201220
20N-H60N000I-00-I,0,0,0,0,0,0,1,20201101,20201220
20N-H62N000I-01-I,0,0,0,0,0,0,1,20201101,20201220
