service_id,date,exception_type
21J-H50J000S-83-S,20210301,2
21J-H50J000S-83-S,20210302,2
21J-H50J000S-83-S,20210303,2
21J-H50J000S-83-S,20210304,2
21J-H50J000S-83-S,20210305,2
21J-H50J000S-83-SV,20210305,2
21J-H50J000A-00-A,20210306,2
21J-H50J000I-00-I,20210307,2
21J-H54J000S-81-S,20210301,2
21J-H54J000S-81-S,20210302,2
21J-H54J000S-81-S,20210303,2
21J-H54J000S-81-S,20210304,2
21J-H54J000S-81-S,20210305,2
21J-H54J000A-01-A,20210306,2
21J-H54J000I-02-I,20210307,2
21J-H55J000S-84-S,20210301,2
21J-H55J000S-84-S,20210302,2
21J-H55J000S-84-S,20210303,2
21J-H55J000S-84-S,20210304,2
21J-H55J000S-84-S,20210305,2
21J-H55J000S-84-SV,20210305,2
21J-H55J000A-01-A,20210306,2
21J-H55J000I-01-I,20210307,2
21J-H56J000S-80-S,20210301,2
21J-H56J000S-80-S,20210302,2
21J-H56J000S-80-S,20210303,2
21J-H56J000S-80-S,20210304,2
21J-H56J000S-80-S,20210305,2
21J-H56J000S-80-SV,20210305,2
21J-H56J000A-00-A,20210306,2
21J-H56J000I-00-I,20210307,2
21J-H57J000S-82-S,20210301,2
21J-H57J000S-82-S,20210302,2
21J-H57J000S-82-S,20210303,2
21J-H57J000S-82-S,20210304,2
21J-H57J000S-82-S,20210305,2
21J-H57J000A-00-A,20210306,2
21J-H57J000I-00-I,20210307,2
21J-H58J000S-86-S,20210301,2
21J-H58J000S-86-S,20210302,2
21J-H58J000S-86-S,20210303,2
21J-H58J000S-86-S,20210304,2
21J-H58J000S-86-S,20210305,2
21J-H58J000A-15-A,20210306,2
21J-H58J000I-15-I,20210307,2
21J-H59J000S-81-S,20210301,2
21J-H59J000S-81-S,20210302,2
21J-H59J000S-81-S,20210303,2
21J-H59J000S-81-S,20210304,2
21J-H59J000S-81-S,20210305,2
21J-H59J000S-81-SV,20210305,2
21J-H59J000A-80-A,20210306,2
21J-H59J000I-80-I,20210307,2
21J-H60J000S-82-S,20210301,2
21J-H60J000S-82-S,20210302,2
21J-H60J000S-82-S,20210303,2
21J-H60J000S-82-S,20210304,2
21J-H60J000S-82-S,20210305,2
21J-H60J000A-81-A,20210306,2
21J-H60J000I-81-I,20210307,2
21J-H62J000S-01-S,20210301,2
21J-H62J000S-01-S,20210302,2
21J-H62J000S-01-S,20210303,2
21J-H62J000S-01-S,20210304,2
21J-H62J000S-01-S,20210305,2
21J-H62J000A-01-A,20210306,2
21J-H62J000I-01-I,20210307,2
20N-GLOBAUX-11-S,20201225,2
