trip_id,start_time,end_time,headway_secs
20N-GLOBAUX-10-S_1_3,05:30:00,06:10:00,480
20N-GLOBAUX-10-S_1_3,06:10:00,06:16:30,390
20N-GLOBAUX-10-S_1_3,06:16:30,06:51:30,300
20N-GLOBAUX-10-S_1_3,06:51:30,07:15:30,240
20N-GLOBAUX-10-S_1_3,07:15:30,07:27:00,230
20N-GLOBAUX-10-S_1_3,07:27:00,07:41:20,215
20N-GLOBAUX-10-S_1_3,07:41:20,07:44:50,210
20N-GLOBAUX-10-S_1_3,07:44:50,08:30:20,195
20N-GLOBAUX-10-S_1_3,08:30:20,08:37:20,210
20N-GLOBAUX-10-S_1_3,08:37:20,08:40:55,215
20N-GLOBAUX-10-S_1_3,08:40:55,08:44:35,220
20N-GLOBAUX-10-S_1_3,08:44:35,08:53:55,280
20N-GLOBAUX-10-S_1_3,08:53:55,09:12:55,285
20N-GLOBAUX-10-S_1_3,09:12:55,15:32:55,300
20N-GLOBAUX-10-S_1_3,15:32:55,15:37:25,270
20N-GLOBAUX-10-S_1_3,15:37:25,15:57:25,240
20N-GLOBAUX-10-S_1_3,15:57:25,16:01:20,235
20N-GLOBAUX-10-S_1_3,16:01:20,16:51:10,230
20N-GLOBAUX-10-S_1_3,16:51:10,18:03:10,240
20N-GLOBAUX-10-S_1_3,18:03:10,18:07:20,250
20N-GLOBAUX-10-S_1_3,18:07:20,18:34:20,270
20N-GLOBAUX-10-S_1_3,18:34:20,19:02:50,285
20N-GLOBAUX-10-S_1_3,19:02:50,22:42:50,300
20N-GLOBAUX-10-S_1_3,22:42:50,22:49:00,370
20N-GLOBAUX-10-S_1_3,22:49:00,22:56:00,420
20N-GLOBAUX-10-S_1_3,22:56:00,23:10:30,435
20N-GLOBAUX-10-S_1_3,23:10:30,23:18:00,450
20N-GLOBAUX-10-S_1_3,23:18:00,24:38:00,480
20N-GLOBAUX-10-S_1_2,05:30:00,06:02:00,480
20N-GLOBAUX-10-S_1_2,06:02:00,06:09:00,420
20N-GLOBAUX-10-S_1_2,06:09:00,06:15:00,360
20N-GLOBAUX-10-S_1_2,06:15:00,06:40:00,300
20N-GLOBAUX-10-S_1_2,06:40:00,06:44:30,270
20N-GLOBAUX-10-S_1_2,06:44:30,06:57:00,250
20N-GLOBAUX-10-S_1_2,06:57:00,07:08:30,230
20N-GLOBAUX-10-S_1_2,07:08:30,07:30:30,220
20N-GLOBAUX-10-S_1_2,07:30:30,07:48:25,215
20N-GLOBAUX-10-S_1_2,07:48:25,08:30:25,210
20N-GLOBAUX-10-S_1_2,08:30:25,08:39:55,285
20N-GLOBAUX-10-S_1_2,08:39:55,08:44:50,295
20N-GLOBAUX-10-S_1_2,08:44:50,15:24:50,300
20N-GLOBAUX-10-S_1_2,15:24:50,15:29:20,270
20N-GLOBAUX-10-S_1_2,15:29:20,15:41:20,240
20N-GLOBAUX-10-S_1_2,15:41:20,16:04:20,230
20N-GLOBAUX-10-S_1_2,16:04:20,16:11:30,215
20N-GLOBAUX-10-S_1_2,16:11:30,16:28:35,205
20N-GLOBAUX-10-S_1_2,16:28:35,16:31:55,200
20N-GLOBAUX-10-S_1_2,16:31:55,17:06:45,190
20N-GLOBAUX-10-S_1_2,17:06:45,17:10:00,195
20N-GLOBAUX-10-S_1_2,17:10:00,17:13:30,210
20N-GLOBAUX-10-S_1_2,17:13:30,17:25:00,230
20N-GLOBAUX-10-S_1_2,17:25:00,17:53:00,240
20N-GLOBAUX-10-S_1_2,17:53:00,18:20:00,270
20N-GLOBAUX-10-S_1_2,18:20:00,22:30:00,300
20N-GLOBAUX-10-S_1_2,22:30:00,22:35:30,330
20N-GLOBAUX-10-S_1_2,22:35:30,23:23:00,475
20N-GLOBAUX-10-S_1_2,23:23:00,24:35:00,480
20N-GLOBAUX-10-S_2_1,05:29:55,05:49:25,390
20N-GLOBAUX-10-S_2_1,05:49:25,06:20:40,375
20N-GLOBAUX-10-S_2_1,06:20:40,06:30:30,295
20N-GLOBAUX-10-S_2_1,06:30:30,06:40:20,285
20N-GLOBAUX-10-S_2_1,06:40:20,06:44:35,255
20N-GLOBAUX-10-S_2_1,06:44:35,07:12:35,240
20N-GLOBAUX-10-S_2_1,07:12:35,07:23:35,220
20N-GLOBAUX-10-S_2_1,07:23:35,07:34:05,210
20N-GLOBAUX-10-S_2_1,07:34:05,07:40:35,195
20N-GLOBAUX-10-S_2_1,07:40:35,08:18:30,175
20N-GLOBAUX-10-S_2_1,08:18:30,08:30:50,185
20N-GLOBAUX-10-S_2_1,08:30:50,08:42:05,225
