route_short_name,route_long_name,total_stops,total_trips,fully_innacesible,bad_vehicle,bad_stop,fully_accesible,total_access_user_opportinities,validation,double_validation
10.0,De Lorimier,57,1482,0,13801,0,29911,84474,43712,-40762
11.0,Parc-du-Mont-Royal / Ridgewood,52,1606,0,0,2382,35550,83512,37932,-45580
12.0,Île-des-Soeurs,53,1398,3179,18551,2435,14247,74094,38412,-35682
13.0,Christophe-Colomb,27,125,0,0,0,1745,3375,1745,-1630
14.0,Atateken,44,614,75,3375,238,10422,27016,14110,-12906
15.0,Sainte-Catherine,44,1134,0,9284,0,16294,49896,25578,-24318
16.0,Graham,69,1270,235,16170,400,28280,87630,45085,-42545
17.0,Décarie,75,1170,0,21759,0,23290,87750,45049,-42701
18.0,Beaubien,102,3566,2328,23745,12464,145285,363732,183822,-179910
19.0,Chabanel / Marché Central,28,1872,0,12363,0,14797,52416,27160,-25256
21.0,Place du Commerce,12,65,35,410,0,0,780,445,-335
22.0,Notre-Dame,72,1306,861,15921,1546,28696,94032,47024,-47008
24.0,Sherbrooke,90,3391,0,21257,0,126986,305190,148243,-156947
25.0,Angus,43,449,0,9878,0,0,19307,9878,-9429
26.0,Mercier-Est,53,1254,212,11354,395,21824,66462,33785,-32677
27.0,Boulevard Saint-Joseph,43,1563,72,3074,711,30529,67209,34386,-32823
28.0,Honoré-Beaugrand,85,1446,460,19662,986,42024,122910,63132,-59778
29.0,Rachel,63,1121,428,13497,664,21204,70623,35793,-34830
30.0,Saint-Denis / Saint-Hubert,105,1227,1722,10968,5218,37307,128835,55215,-73620
31.0,Saint-Denis,60,1120,85,6287,1315,22553,67200,30240,-36960
32.0,Lacordaire,89,2277,462,39705,653,57700,202653,98520,-104133
33.0,Langelier,130,3079,273,30317,1282,154930,400270,186802,-213468
34.0,Sainte-Catherine,56,1567,0,16319,0,29186,87752,45505,-42247
35.0,Griffintown,56,1291,444,25028,209,11773,72296,37454,-34842
36.0,Monk,79,1108,30,1170,1078,42042,87532,44320,-43212
37.0,Jolicoeur,92,1546,668,20792,1595,48743,142232,71798,-70434
39.0,Des Grandes-Prairies,94,150,216,1953,384,3397,14100,5950,-8150
40.0,Henri-Bourassa-Est,77,220,145,2146,405,5994,16940,8690,-8250
41.0,Quartier Saint-Michel / Ahuntsic,124,358,403,6490,739,12173,44392,19805,-24587
43.0,Monselet,123,1254,440,25848,848,50612,154242,77748,-76494
44.0,Armand-Bombardier,70,2500,173,29551,293,58664,175000,88681,-86319
45.0,Papineau,85,1713,0,0,873,73659,145605,74532,-71073
46.0,Casgrain,19,324,0,72,0,2874,6156,2946,-3210
47.0,Masson,47,1396,248,6904,992,23936,65612,32080,-33532
48.0,Perras,104,2823,1538,69503,1346,62492,293592,134879,-158713
49.0,Maurice-Duplessis,116,2516,4053,53484,6383,80539,291856,144459,-147397
51.0,Édouard-Montpetit,103,4231,0,31816,0,184959,435793,216775,-219018
52.0,de Liège,20,120,0,780,0,240,2400,1020,-1380
54.0,Charland / Chabanel,85,520,120,11848,89,8614,44200,20671,-23529
55.0,Boulevard Saint-Laurent,95,2896,165,21690,1089,118094,275120,141038,-134082
56.0,Saint-Hubert,24,144,36,864,36,864,3456,1800,-1656
57.0,Pointe-Saint-Charles,66,1335,660,13646,1365,29089,88110,44760,-43350
58.0,Wellington,71,1597,0,13789,0,43706,113387,57495,-55892
61.0,Wellington,61,1277,783,15549,1143,22119,77897,39594,-38303
63.0,Girouard,50,543,0,2811,0,11037,27150,13848,-13302
64.0,Grenet,37,3439,0,16808,0,48410,127243,65218,-62025
66.0,The Boulevard,68,1332,2629,43991,0,0,90576,46620,-43956
67.0,Saint-Michel,77,3315,0,0,1628,129226,255255,130854,-124401
68.0,Pierrefonds,158,1456,7513,35171,11660,55700,230048,110044,-120004
69.0,Gouin,139,2281,0,0,1125,158877,317059,160002,-157057
70.0,Bois-Franc,57,1276,2222,5195,6800,15739,72732,29956,-42776
71.0,Du Centre,50,1733,1394,22339,1193,19228,86650,44154,-42496
72.0,Alfred-Nobel,66,866,4325,5158,8121,9938,57156,27542,-29614
73.0,Dalton,15,146,0,76,0,1150,2190,1226,-964
74.0,Bridge,23,318,796,2626,0,0,7314,3422,-3892
75.0,De la Commune,13,144,0,26,0,1006,1872,1032,-840
76.0,McArthur,7,60,0,270,0,0,420,270,-150
77.0,Station Lionel-Groulx / CUSM,20,952,0,0,0,10472,19040,10472,-8568
78.0,Laurendeau,57,1212,255,7140,957,26796,69084,35148,-33936
80.0,Avenue du Parc,58,3122,0,0,3122,90362,181076,93484,-87592
81.0,Saint-Jean-Baptiste,59,1118,2645,11815,3489,15591,65962,33540,-32422
85.0,Hochelaga,114,1308,550,32015,672,39109,149112,72346,-76766
86.0,Pointe-aux-Trembles,197,1341,5398,43351,9363,75310,264177,133422,-130755
90.0,Saint-Jacques,105,2484,657,19317,4043,106761,260820,130778,-130042
92.0,Jean-Talon Ouest,58,1381,396,11464,985,28544,80098,41389,-38709
93.0,Jean-Talon,53,1647,443,9353,1456,33107,87291,44359,-42932
94.0,D'Iberville,59,1654,1814,16172,3132,28368,97586,49486,-48100
95.0,Bélanger,85,1500,0,19350,0,45150,127500,64500,-63000
97.0,Avenue-du-Mont-Royal,70,2445,133,11273,1011,75266,171150,87683,-83467
99.0,Villeray,49,1201,280,6863,921,22554,58849,30618,-28231
100.0,Crémazie,72,2174,924,32340,1250,43914,156528,78428,-78100
101.0,Saint-Patrick,31,130,0,0,260,1885,4030,2145,-1885
102.0,Somerled,50,1256,0,13667,0,18361,62800,32028,-30772
103.0,Monkland,48,2855,0,26775,0,43351,137040,70126,-66914
104.0,Cavendish,85,1239,0,19632,0,33648,105315,53280,-52035
105.0,Sherbrooke,37,5451,0,49886,0,53269,201687,103155,-98532
106.0,Newman,57,3334,1409,40220,1925,54907,190038,98461,-91577
107.0,Verdun,81,1602,0,27066,0,37777,129762,64843,-64919
108.0,Bannantyne,53,1366,0,10557,0,26325,72398,36882,-35516
109.0,Boulevard Shevchenko,76,1196,2392,44318,0,0,90896,46710,-44186
110.0,Centrale,141,1503,940,32785,2048,71520,211923,107293,-104630
112.0,Airlie,79,1798,3623,67460,0,0,142042,71083,-70959
113.0,Lapierre,72,2035,370,27370,615,46875,146520,75230,-71290
115.0,Paré,35,444,0,3682,0,3758,15540,7440,-8100
116.0,Lafleur / Norman,48,70,560,1190,0,0,3360,1750,-1610
117.0,O'Brien,44,662,0,1704,0,13528,29128,15232,-13896
119.0,Rockland,79,932,264,21194,202,16086,73628,37746,-35882
121.0,Sauvé / Côte-Vertu,98,2860,0,0,1357,141651,280280,143008,-137272
123.0,Dollard,71,1272,0,46433,0,0,90312,46433,-43879
124.0,Victoria,83,1518,847,23214,1419,39068,125994,64548,-61446
125.0,Ontario,81,1610,0,13410,0,51622,130410,65032,-65378
126.0,Polyvalente Émile-Legault,19,14,24,120,0,0,266,144,-122
128.0,Ville-Saint-Laurent,143,1446,1318,36592,2310,64680,206778,104900,-101878
129.0,Côte-Sainte-Catherine,81,1503,0,20606,0,41838,121743,62444,-59299
131.0,De l'Assomption,34,2086,1852,13532,2320,17012,70924,34716,-36208
